domain,fb,name,sources,tw,usnpl_tag,website,wp_tags,yt
anchoragepress.com,https://www.facebook.com/anchoragepress,Anchorage Press ,usnpl.com,anchoragepress,Newspapers,http://www.anchoragepress.com,,http://www.youtube.com/channel/UCc7cggJkVzQ_kPJZUG8U_Hw
andalusiastarnews.com,https://www.facebook.com/pages/Andalusia-Star-News/53866966722,Andalusia Star-News,usnpl.com,,Newspapers,http://www.andalusiastarnews.com,,
andersonian.com,,Andersonian,usnpl.com,andersonian,College Newspapers,http://andersonian.com,,
andovertownsman.com,https://www.facebook.com/AndoverTownsman,Andover Townsman,usnpl.com,AndoverTownsman,Newspapers,http://www.andovertownsman.com,,
andrewscountynews.com,https://www.facebook.com/pages/Andrews-County-News/302029093233364,Andrews County News,usnpl.com,,Newspapers,http://www.andrewscountynews.com,,
annandaleadvocate.com,,Annandale Advocate,usnpl.com,,Newspapers,http://annandaleadvocate.com,,
annanews.com,https://www.facebook.com/gazettedemocrat,Anna Gazette Democrat,usnpl.com,gazettedemocrat,Newspapers,http://www.annanews.com,,
annistonstar.com,https://www.facebook.com/annistonstar,Anniston Star,usnpl.com,annistonstar,Newspapers,http://www.annistonstar.com,,http://www.youtube.com/user/AnnistonStar
annistonstar.com,https://www.facebook.com/pages/Cleburne-News/174078529314804,Cleburne News,usnpl.com,,Newspapers,http://www.annistonstar.com/cleburne_news,,
annistonstar.com,https://www.facebook.com/annistonstar,Jacksonville News,usnpl.com,annistonstar,Newspapers,http://www.annistonstar.com/jacksonville_news,,
annistonstar.com,https://www.facebook.com/pages/St-Clair-Times/166861103332609,St. Clair Times,usnpl.com,,Newspapers,http://www.annistonstar.com/the_st_clair_times,,
annistonstar.com,,Piedmont Journal,usnpl.com,,Newspapers,http://www.annistonstar.com/piedmont_journal,,
annistonstar.com,https://www.facebook.com/pages/Daily-Home-Newspaper/123994364892,Daily Home,usnpl.com,dailyhome,Newspapers,http://www.annistonstar.com/the_daily_home,,
ansonrecord.com,https://www.facebook.com/pages/Anson-Record/180849995282535,Anson Record,usnpl.com,TheAnsonRecord,Newspapers,http://ansonrecord.com,,
anthonyrepublicannews.com,https://www.facebook.com/pages/Anthony-RepublicanLDs-Printing/184355801587366,Anthony Republican,usnpl.com,,Newspapers,http://www.anthonyrepublicannews.com,,
antigodailyjournal.com,,Antigo Daily Journal,usnpl.com,AntigoDJ,Newspapers,http://www.antigodailyjournal.com,,
antonnews.com,,Anton Community Newspapers,usnpl.com,,Newspapers,http://antonnews.com,,
antrimreview.net,https://www.facebook.com/antrim.review,Antrim Review,usnpl.com,,Newspapers,http://www.antrimreview.net,,
apalachtimes.com,https://www.facebook.com/Apalachtimes,Apalachicola Times,usnpl.com,ApalachTimes,Newspapers,http://www.apalachtimes.com,,
apg-wi.com,https://www.facebook.com/pages/Ashland-Daily-Press/143201255699653,Daily Press,usnpl.com,AshlandDailyPre,Newspapers,http://www.apg-wi.com/ashland_daily_press,,https://www.youtube.com/user/ashlanddailypress/videos
apg-wi.com,https://www.facebook.com/sawyercountyrecord,Sawyer County Record,usnpl.com,SawyerCoRecord,Newspapers,http://www.apg-wi.com/sawyer_county_record,,https://www.youtube.com/user/SawyerCountyRecord/videos
apg-wi.com,https://www.facebook.com/pages/PriceCountyDailycom/296062510446814,Price County Review,usnpl.com,PriceCountyDail,Newspapers,http://www.apg-wi.com/price_county_review,,https://www.youtube.com/user/PriceCountyDaily/videos
apg-wi.com,,Rice Lake Chronotype,usnpl.com,RLnewspaper,Newspapers,http://www.apg-wi.com/rice_lake_chronotype,,https://www.youtube.com/channel/UC2mTGPjKAkH-_Cwf5AFTmug
